,url,domain,class
0,mortgagebidders.ca,mortgagebidders,legit
1,thegulfitjobs.com,thegulfitjobs,legit
2,loairt.co.cc,loairt,legit
3,jocojihuc.com,jocojihuc,dga
4,wbi4p5s611gs38873.bo0keego.cc,bo0keego,legit
5,bigdaddyeric.no-ip.info,no-ip,legit
6,pimpindoe.no-ip.info,no-ip,legit
7,nakulsales.com,nakulsales,legit
8,1463428398.httpany.net,httpany,legit
9,sub.spirlymo.com,spirlymo,legit
10,saggerboy.com,saggerboy,legit
11,loadit.pw,loadit,legit
12,lognetic.com,lognetic,legit
13,6cake6.no-ip.org,no-ip,legit
14,topqweb.org,topqweb,legit
15,3blueshades.no-ip.org,no-ip,legit
16,x.west9task.com,west9task,legit
17,DeadlyxBomb.no-ip.biz,no-ip,legit
18,irc.r00t.me.uk,r00t,legit
19,fsddf3.com,fsddf3,legit
20,tuhostingprofesional.net,tuhostingprofesional,legit
21,h3pzdwiylg5ckl4b8a12nsdiu.com,h3pzdwiylg5ckl4b8a12nsdiu,dga
22,expressdiaz.com,expressdiaz,legit
23,problemgogule.no-ip.biz,no-ip,legit
24,rhawk.f3322.org,f3322,legit
25,345lhwsd.no-ip.org,no-ip,legit
26,upd-stat.at,upd-stat,legit
27,freebie.net.ua,freebie,legit
28,wiki-135617.com,wiki-135617,dga
29,cxsuxxysmfzl.com,cxsuxxysmfzl,dga
30,lujanpeac.kz,lujanpeac,legit
31,rightdatabase.co.cc,rightdatabase,legit
32,lomsilar.com,lomsilar,legit
33,wtydvtpvtlrakr.com,wtydvtpvtlrakr,dga
34,vfsgdf.ce.ms,vfsgdf,legit
35,kw.com,kw,legit
36,0033713533.d017efaf.01.966526707F364D34B0E365A78F886ACA.n.empty.1124.empty.5_1._t_i.ffffffff.empty.168.rc2.a4h9uploading.com,a4h9uploading,legit
37,roamingadvertising.net,roamingadvertising,legit
38,searchbell.org,searchbell,legit
39,ponigl.jb-x.de,jb-x,legit
40,idontcare.hopto.org,hopto,legit
41,qik2gcok.suras-ip.com,suras-ip,legit
42,1463604982.httpsquer.com,httpsquer,legit
43,api.v2.sslsecure5.com,sslsecure5,legit
44,oclbslt.info,oclbslt,dga
45,segfdsjhgj333.com,segfdsjhgj333,dga
46,bellarussian.no-ip.org,no-ip,legit
47,myestateweb.cu.cc,myestateweb,legit
48,odminco.net,odminco,legit
49,www.jiantailanggame.com,jiantailanggame,legit
50,zddwlmgpe.info,zddwlmgpe,dga
51,vuvamewakoq.com,vuvamewakoq,legit
52,reruravobosila.com,reruravobosila,legit
53,update.kuaibo.com,kuaibo,legit
54,jnupayaf.com,jnupayaf,legit
55,schoolsports.com,schoolsports,legit
56,mqxpf.ru,mqxpf,legit
57,bestzante.net,bestzante,legit
58,sv472xvt.co.com.au,sv472xvt,dga
59,3simoncrib.no-ip.org,no-ip,legit
60,bjuyeulkvckq.com,bjuyeulkvckq,dga
61,tixirukemosa.com,tixirukemosa,legit
62,cetoxserv4309.com,cetoxserv4309,legit
63,earlycup.ce.ms,earlycup,legit
64,muscanet.com,muscanet,legit
65,duffiduffii.ru,duffiduffii,legit
66,ads.alpha00001.com,alpha00001,legit
67,gikekypowaqa.com,gikekypowaqa,dga
68,movawypig.com,movawypig,legit
69,bloglst.com,bloglst,legit
70,bullishmarketing.com,bullishmarketing,legit
71,hwufuy.tf,hwufuy,legit
72,nyxoxuxezy.com,nyxoxuxezy,dga
73,nrwoo.ru,nrwoo,legit
74,telenavis.com,telenavis,legit
75,xclick.xtc.vn,xtc,legit
76,psykoze.no-ip.biz,no-ip,legit
77,2sushi.ru,2sushi,legit
78,managerdemo.co.cc,managerdemo,legit
79,www.suhindur-booter.co.cc,www.suhindur-booter,legit
80,lpgfaijjdvpkyncdrl.com,lpgfaijjdvpkyncdrl,dga
