,url,domain,class
0,ppwktofoh.com,ppwktofoh,dga
1,vefbxfj.net,vefbxfj,dga
2,tutuji-saitama.com,tutuji-saitama,legit
3,hp500.wha.la,wha,legit
4,grupograndes.com,grupograndes,legit
5,pjmmjojwn.click,pjmmjojwn,dga
6,xn--90accfcaw3cn0b.xn--p1ai,xn--90accfcaw3cn0b,dga
7,auto-fish.ru,auto-fish,legit
8,lognetic.com,lognetic,legit
9,ikezawmj.com,ikezawmj,dga
10,topqweb.org,topqweb,legit
11,host5050.ru,host5050,legit
12,epost.de,epost,legit
13,cool.securenetwork.host,securenetwork,legit
14,zlohhvqhqgyvbhbhe.com,zlohhvqhqgyvbhbhe,dga
15,kerybcrmv.ru,kerybcrmv,legit
16,download.flv.com,flv,legit
17,inst.wecan-software.com,wecan-software,legit
18,plus.ba,plus,legit
19,abvrnnyf.com,abvrnnyf,dga
20,fujino-lab.com,fujino-lab,legit
21,www.traderush.com,traderush,legit
22,ukypokubi.de,ukypokubi,legit
23,www.energysavingproductsinfo.com,energysavingproductsinfo,legit
24,cqfdrem.com,cqfdrem,legit
25,nkgnacybwam.com,nkgnacybwam,dga
26,unslp.edu.bo,unslp,legit
27,phonebillssuck.com,phonebillssuck,legit
28,kshops.vn,kshops,legit
29,static.ultimagno.com,ultimagno,legit
30,api.zipmonster.ru,zipmonster,legit
31,north-america.pool.ntp.org,ntp,legit
32,sepkglcvkybiqi.su,sepkglcvkybiqi,dga
33,combine.or.id,combine,legit
34,rvcysvtrdqvfeoxpkgay.com,rvcysvtrdqvfeoxpkgay,dga
35,amylybipa.de,amylybipa,legit
36,www.directlinkupload.com,directlinkupload,legit
37,stun4.l.google.com,google,legit
38,agqkgrttm.com,agqkgrttm,dga
39,srv1.su,srv1,legit
40,track.v2.sslsecure1.com,sslsecure1,legit
41,privatefirmservices.misconfused.org,misconfused,legit
42,lbmntrwvfzwp.com,lbmntrwvfzwp,dga
43,e312d4a00c4b8fbbff00fc673b587716.org,e312d4a00c4b8fbbff00fc673b587716,dga
44,telenavis.com,telenavis,legit
45,xclick.xtc.vn,xtc,legit
46,impressions-proxy-1085035873.us-east-1.elb.amazonaws.com,amazonaws,legit
47,www.freemao.com,freemao,legit
48,loadit.pw,loadit,legit
